id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4445388163061377,Ij2KIcQp3,#求职季# 你好，朋友，欢迎来到我的 #职业规划训练营#一、关于我@职业规划师Vivian：6年名企HR，10年+资深猎头顾问，独立职业规划咨询师，生涯规划师，创业者。面试评估过上万名高级职业经理人，支持过1000+精英候选人圆满找到适合自己的发展平台，累计超过1000小时一对一职业规划辅导经验和初、高中 ...全文,,"https://wx3.sinaimg.cn/large/c13e5944ly1g9jevigo0zj20t70ub4fp.jpg,https://wx3.sinaimg.cn/large/c13e5944ly1g9jevyoq2bj20pb0jiq5b.jpg",,,2019-12-03,,24,13,4,"求职季,职业规划训练营",职业规划师Vivian
4634498454520839,KetsFiY4L,#与V姐一同早起# 早安平坦的路好走，但泥泞的路上才能留下脚印。 ,,,,,2021-05-08,前置双摄vivo X9,1,0,1,与V姐一同早起,
4634126033882583,KejLZgi2j,#与V姐一同早起# 早安我们大声笑起来，可怕的东西就会逃跑。 ,,,,,2021-05-07,前置双摄vivo X9,3,0,1,与V姐一同早起,
4633985177879394,Keg6Nx3N0,#晚安# 我们不说永远，只说珍惜!得到了是因为缘分到了，失去了是因为缘分尽了，陪伴是因为还债，离开是因为还清，爱无用，恨无用，求无用，一切随缘…… ,,,,,2021-05-06,前置双摄vivo X9,0,1,1,晚安,
4633825362052425,KebX28BVD,#如何停止自我pua# 外在所有的声音如果能够影响你，是因为你内心没有主见。因此我们要学会与各种不同的声音共存。人的脆弱和坚强有时会超乎自己的想象。 ,,,,,2021-05-06,前置双摄vivo X9,0,0,1,如何停止自我pua,
4633817526831644,KebKosFdO,#前任送的东西你会怎么处理#扔掉 ,,,,,2021-05-06,前置双摄vivo X9,2,2,0,前任送的东西你会怎么处理,
4633817211473571,KebJT6blh,#如何看待比尔盖茨离婚# 我听过三观很正的一句话是：人和人的竞争，表面上看是房子车子票子面子，核心竞争其实是能力人脉资源圈子，而本质竞争呢，是思维认知价值，还有人品。 ,,,,,2021-05-06,前置双摄vivo X9,0,1,0,如何看待比尔盖茨离婚,
4633748706165212,Ke9XopRQU,#与V姐一同早起# 早安宇宙很谦虚，明明拥有一切，却叫太空。 ,,,,,2021-05-06,前置双摄vivo X9,0,0,0,与V姐一同早起,
4632171647598836,KduVKvSNS,吃喝的一天，大家节日快乐 ,,"https://wx4.sinaimg.cn/large/c13e5944ly1gq3amod8qmj20qo0k0whe.jpg,https://wx2.sinaimg.cn/large/c13e5944ly1gq3an1cpetj20qo0qb42u.jpg,https://wx2.sinaimg.cn/large/c13e5944ly1gq3a27teb5j21400u0wie.jpg,https://wx4.sinaimg.cn/large/c13e5944ly1gq3a28loizj21400u0n37.jpg,https://wx3.sinaimg.cn/large/c13e5944ly1gq3a2bvweuj21400u0k1h.jpg,https://wx3.sinaimg.cn/large/c13e5944ly1gq3a2cmxi4j20u0140al5.jpg,https://wx2.sinaimg.cn/large/c13e5944ly1gq3a31rzauj20u0140474.jpg,https://wx2.sinaimg.cn/large/c13e5944ly1gq3alw31lvj215o1jkav1.jpg,https://wx1.sinaimg.cn/large/c13e5944ly1gq3ao4l8nqj22o03k0b2d.jpg",,,2021-05-01,前置双摄vivo X9,2,0,0,,
4631567139341549,KdfcJDca9,#与V姐一同早起# 早安既往不恋，当下不杂，未来不乱。 ,,,,,2021-04-30,前置双摄vivo X9,0,0,0,与V姐一同早起,
4631209616869329,Kd5U5sP1D,#与V姐一同早起# 早安不要把你所遭遇的苦难看得太大，更不要把你所拥有的幸福看得太少。 ,,,,,2021-04-29,前置双摄vivo X9,0,0,1,与V姐一同早起,
4630846021305217,KcWrE5txT,#与V姐一同早起# 早安运气交给锦鲤，你只管努力就行。 ,,,,,2021-04-28,前置双摄vivo X9,1,0,2,与V姐一同早起,
4630499471395338,KcNqH5QZs,#与V姐一同早起#  早安。你所看到的惊鸿，都曾被平庸磨练。 ,,,,,2021-04-27,前置双摄vivo X9,0,0,0,与V姐一同早起,
4630138652721521,KcE2JbpZv,生的再平凡也是限量版，别瞧不起自己。 ,,,,,2021-04-26,前置双摄vivo X9,4,0,1,,
4629971983140567,KczHUdb0j,"#如何看待离职见人品# 我们总会在面试的时候精心打扮，了解公司情况准备好面试资料，让自己在面试的时候给公司留下好的第一印象。那么离职就是在公司中的最后印象。你是会选择直接走人？还是会把目前的工作做好交接，提前跟上司说离职，让公司有所准备？都是你人品的体现。在职场离职虽说是件正常的事情，但离职之前做好这3件事，既是一个成熟职场人应有的表现，更是对自己和公司的负责，一个人的人品能从离职过程中看出一二的。1,离职前务必办好离职手续和交接工作不要以为离职了就什么事情都跟自己没关系了的，两手空空拍拍屁股走人，这是最不负责任的做法，举个例子，你已经离职了，但是来的新人却连办公桌上的电脑密码都不知道，要是自己的公司是行业内的独角兽的话，你这样的离职，人家会在行业内封杀你，最后因为这样小小的事情没法在行业里面继续混了，这是不值得的。2,离职的时候只走人，不带走公司的东西对于公司配备给你的办公用品和资源，在期限内你只有使用权没有拥有权，而且离职的时候还拿公司的东西是多么的没有道德，不仅会让公司和老板对你的印象大打折扣，这也将成为你职业生涯上的污点，千万不能这么做。特别做到高级职位的时候，新东家都会进行背调。3,离职千万别跟老板撕破脸买卖不成仁义在，不管是主动还是被动离职，和和气气的离开，说不定以后还有合作机会，多一个朋友多一份机会，不要因为个人情绪的问题把自己的路给堵死。都要走了何必呢？没有什么深仇大恨就没必要跟老板去撕破脸，可能在你未来的工作上这是一种资源。离职的时候懂得处理自己的“后事”，并且把这些事情做好，之后的你会越来越值钱。中国有句古话，做人留一线，日后好相见。对于老同事来讲，在一起工作多年，培养起来的感情和默契都值得珍惜。山不转水转，人生何处不相逢，多一个朋友，总比多一个敌人强。",,,,,2021-04-25,前置双摄vivo X9,8,0,2,如何看待离职见人品,
4629823190211807,KcvPV0T6f,#90后的职场焦虑都来自哪里##追求完美和按时交差哪个重要# 在生活中你是“完美主义者”吗？如果不能按时交差你会选择怎么做？我们根据客观现实的要求对紧急程度进行打分，把我们生活和工作的任务划分成这样4种类型的任务。第1种，对于那些又紧急又重要的任务，也就是我们本职工作份内的事情，那一 ...全文,,https://wx2.sinaimg.cn/large/c13e5944ly1gpvsmxsb00j20u00mi40g.jpg,,,2021-04-25,前置双摄vivo X9,1,0,1,,
